GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G09200	1343.32461587245	1.93070307586588	0.0452917628291191	42.6281282790915	0.0000000000000000000000000000000000000000000000000000001	0.0000000000000000000000000000000000000000000000000000002
AT3G02480	1220.55843695782	4.14598147795423	0.0722841917665239	57.3566830676567	0.0000000000000000000000000000000000000000000000000000002	0.0000000000000000000000000000000000000000000000000000003
AT3G12580	2465.97137694328	1.23654145335235	0.0314478665948694	39.3203605599781	0.0000000000000000000000000000000000000000000000000000003	0.0000000000000000000000000000000000000000000000000000004
AT3G20470	937.580022764479	2.09535206221298	0.0540431029515812	38.7718681529124	0.0000000000000000000000000000000000000000000000000000004	0.0000000000000000000000000000000000000000000000000000005
AT3G27060	4014.52955979328	4.25857162146596	0.0426277780228102	99.9013277020256	0.0000000000000000000000000000000000000000000000000000005	0.0000000000000000000000000000000000000000000000000000006
AT2G21790	1195.47909323103	3.28828823650901	0.0597306896210617	55.0519047640382	0.0000000000000000000000000000000000000000000000000000006	0.0000000000000000000000000000000000000000000000000000007
AT2G38530	1140.01519847479	2.54665513445301	0.0526616263663195	48.3588394467391	0.0000000000000000000000000000000000000000000000000000007	0.0000000000000000000000000000000000000000000000000000008
AT4G16370	1339.11914493188	2.23004023242738	0.0472644228288536	47.1822165374249	0.0000000000000000000000000000000000000000000000000000008	0.0000000000000000000000000000000000000000000000000000009
AT4G23680	2450.05896270293	1.31031158404574	0.0321190669711181	40.7954435670247	0.0000000000000000000000000000000000000000000000000000009	0.0000000000000000000000000000000000000000000000000000010
AT2G29570	571.761502490325	3.42145036521333	0.091437828955273	37.4183246070611	1.96770011923065e-306	6.08063063511586e-304
AT5G05250	664.946571631324	2.67689594886905	0.0725038125645415	36.9207611873669	2.14632429167681e-298	6.35037991490591e-296
AT4G28310	453.083394714699	4.34154808256389	0.123781234867565	35.0743639551581	1.65833405638737e-269	4.61215867762455e-267
AT2G16440	482.08017067715	3.27982498300715	0.0936889758367004	35.0075871116776	1.72470625915125e-268	4.70269906661906e-266
AT4G36700	967.162804738939	7.29507094673909	0.211487690582794	34.4940687878153	9.84438330293384e-261	2.48901807655633e-258
AT1G07370	447.912644605213	3.61460610299188	0.105286598168372	34.3311130369269	2.6955513881905e-258	6.69363171503162e-256
AT2G42750	1322.52710940896	1.46522469203881	0.0428309491749611	34.2094845027477	1.747562359595e-256	4.26343897763652e-254
AT5G54970	449.576024298987	3.69523256099173	0.109804897662221	33.6527116701016	2.84577557269422e-248	6.70734832438742e-246
AT5G06910	489.372443664697	3.09802651263324	0.0921832638560086	33.6072556236715	1.31427596543996e-247	2.99611829105049e-245
AT1G64370	4121.99733136336	0.868937275046208	0.0261551181719715	33.2224564742126	5.1031808431331e-242	1.12642591753348e-239
AT5G13930	3950.15645137852	0.811684329491923	0.0247083349630706	32.8506283691344	1.11572351940403e-236	2.35079564558067e-234
AT4G26960	430.355160234473	4.80055391445237	0.146840299354556	32.6923462806427	2.00630212728244e-234	4.10288785029259e-232
AT3G48490	574.351289267772	6.44912001501243	0.208689678539972	30.902917959966	1.09136460808637e-209	2.0508805729796e-207
AT3G23000	2291.37973047996	0.969067419509321	0.0330434953510463	29.3270251592387	4.69228700024214e-189	8.25961304118572e-187
AT5G42530	651.528112481694	1.88930376377361	0.0648852537905974	29.1176138398244	2.14856201401366e-186	3.68863004529308e-184
AT2G14247	277.424855725187	4.03751678373378	0.146451547768322	27.5689594631045	2.62256893836216e-167	4.2406329833563e-165
AT4G14690	364.912818788529	2.46879080755902	0.0905301222583385	27.2703796921209	9.52784264314167e-164	1.45597999775306e-161
